date,PET,rain,flow
2017-12-29,inf,0.0,45446400.0
2017-12-30,inf,0.0,51287040.0
2017-12-31,inf,0.0,53982719.99999999
2018-01-01,inf,0.0,55105919.99999999
2018-01-02,inf,0.0,53308800.0
2018-01-03,inf,0.0,50613119.99999999
2018-01-04,inf,0.0,50388480.00000001
2018-01-05,inf,0.4,48142080.00000001
2018-01-06,inf,0.2,45446400.0
2018-01-07,inf,0.0,43424640.0
2018-01-08,inf,0.0,40279680.0
2018-01-09,inf,0.0,38707200.0
2018-01-10,inf,0.0,38931840.0
2018-01-11,inf,0.0,39156480.0
2018-01-12,inf,0.0,37048320.0
2018-01-13,inf,0.2,37255680.0
2018-01-14,inf,0.0,37255680.0
2018-01-15,inf,0.0,37255680.0
2018-01-16,inf,0.0,36218880.0
2018-01-17,inf,0.0,35389440.0
2018-01-18,inf,0.0,35596800.0
2018-01-19,inf,0.0,35182080.0
2018-01-20,inf,0.0,34767360.0
2018-01-21,inf,0.0,34352640.0
2018-01-22,inf,0.0,34560000.0
2018-01-23,inf,0.0,36840960.0
2018-01-24,inf,0.0,37048320.0
2018-01-25,inf,0.0,38707200.0
2018-01-26,inf,0.0,39830400.0
2018-01-27,inf,0.0,39830400.0
2018-01-28,inf,0.0,38499840.0
2018-01-29,inf,0.0,38499840.0
2018-01-30,inf,0.0,38085120.0
2018-01-31,inf,0.0,39381120.0
2018-02-01,inf,0.0,38931840.0
2018-02-02,inf,0.0,39381120.0
2018-02-03,inf,0.0,38931840.0
2018-02-04,inf,0.0,38931840.0
2018-02-05,inf,0.0,38931840.0
2018-02-06,inf,0.0,37877760.0
2018-02-07,inf,0.0,36426240.0
2018-02-08,inf,0.0,36426240.0
2018-02-09,inf,0.0,37463040.0
2018-02-10,inf,0.0,37255680.0
2018-02-11,inf,0.0,36840960.0
2018-02-12,inf,0.0,36633600.0
2018-02-13,inf,0.0,36633600.0
2018-02-14,inf,0.0,37877760.0
2018-02-15,inf,0.0,35804160.0
2018-02-16,inf,0.0,36218880.0
2018-02-17,inf,0.0,36426240.0
2018-02-18,inf,0.0,36633600.0
2018-02-19,inf,0.0,37877760.0
2018-02-20,inf,0.0,39381120.0
2018-02-21,inf,0.0,39830400.0
2018-02-22,inf,0.0,39605760.0
2018-02-23,inf,0.0,38931840.0
2018-02-24,inf,0.0,41178240.0
2018-02-25,inf,0.0,42750720.0
2018-02-26,inf,0.0,47468160.0
2018-02-27,inf,0.0,52859519.99999999
2018-02-28,inf,0.0,53308800.0
2018-03-01,inf,0.0,49040640.0
2018-03-02,inf,0.0,47018880.00000001
2018-03-03,inf,0.0,46344960.0
2018-03-04,inf,0.0,44997119.99999999
2018-03-05,inf,0.0,42750720.0
2018-03-06,inf,0.0,40728960.0
2018-03-07,inf,0.0,39830400.0
2018-03-08,inf,0.0,39830400.0
2018-03-09,inf,0.0,38707200.0
2018-03-10,inf,0.0,38292480.0
2018-03-11,inf,0.0,37255680.0
2018-03-12,inf,0.0,37463040.0
2018-03-13,inf,0.0,36426240.0
2018-03-14,inf,0.0,35182080.0
2018-03-15,inf,0.0,34767360.0
2018-03-16,inf,0.0,34767360.0
2018-03-17,inf,0.0,34352640.0
2018-03-18,inf,0.0,34560000.0
2018-03-19,inf,0.0,34974720.0
2018-03-20,inf,0.0,33730560.0
2018-03-21,inf,0.0,33315840.000000004
2018-03-22,inf,0.0,32486400.0
2018-03-23,inf,0.0,32486400.0
2018-03-24,inf,0.0,33523200.0
2018-03-25,inf,0.0,33315840.000000004
2018-03-26,inf,0.0,32486400.0
2018-03-27,inf,0.0,31726080.0
2018-03-28,inf,0.0,32106240.000000004
2018-03-29,inf,0.0,30775680.0
2018-03-30,inf,0.0,31155840.000000004
2018-03-31,inf,0.0,30585600.0
2018-04-01,inf,0.0,37704960.0
2018-04-02,inf,0.0,38603520.0
2018-04-03,inf,0.0,39726720.0
2018-04-04,inf,0.0,38828160.0
2018-04-05,inf,0.0,38378880.0
2018-04-06,inf,0.0,39502080.0
2018-04-07,inf,0.0,39052800.0
2018-04-08,inf,0.0,39052800.0
2018-04-09,inf,0.0,39277440.0
2018-04-10,inf,0.0,39277440.0
2018-04-11,inf,0.0,38378880.0
2018-04-12,inf,0.0,37031040.0
2018-04-13,inf,0.0,36357120.0
2018-04-14,inf,0.0,36357120.0
2018-04-15,inf,0.0,36132480.0
2018-04-16,inf,0.0,35233920.0
2018-04-17,inf,0.0,36132480.0
2018-04-18,inf,0.0,38378880.0
2018-04-19,inf,0.0,40400640.0
2018-04-20,inf,0.0,44219520.0
2018-04-21,inf,0.0,47485440.0
2018-04-22,inf,0.0,50630400.0
2018-04-23,inf,0.0,49420800.0
2018-04-24,inf,0.0,49662719.99999999
2018-04-25,inf,0.0,49178880.00000001
2018-04-26,inf,0.0,46033919.99999999
2018-04-27,inf,0.0,45792000.0
2018-04-28,inf,0.0,44668800.0
2018-04-29,inf,0.0,44668800.0
2018-04-30,inf,0.0,44444160.0
2018-05-01,inf,0.0,45567360.0
2018-05-02,inf,0.0,49178880.00000001
2018-05-03,inf,0.0,50872319.99999999
2018-05-04,inf,0.0,52323840.0
2018-05-05,inf,0.0,52323840.0
2018-05-06,inf,0.0,51598080.00000001
2018-05-07,inf,0.0,50872319.99999999
2018-05-08,inf,0.0,49904640.0
2018-05-09,inf,0.0,51598080.00000001
2018-05-10,inf,0.0,48453119.99999999
2018-05-11,inf,0.0,44668800.0
2018-05-12,inf,0.0,42422400.0
2018-05-13,inf,0.0,39052800.0
2018-05-14,inf,0.0,36806400.0
2018-05-15,inf,0.0,34560000.0
2018-05-16,inf,0.0,33523200.0
2018-05-17,inf,0.0,35233920.0
2018-05-18,inf,0.0,39052800.0
2018-05-19,inf,0.0,42422400.0
2018-05-20,inf,0.0,46759680.00000001
2018-05-21,inf,0.0,49420800.0
2018-05-22,inf,0.0,52807680.00000001
2018-05-23,inf,0.0,53827200.0
2018-05-24,inf,0.0,53049600.0
2018-05-25,inf,0.0,53049600.0
2018-05-26,inf,0.0,50872319.99999999
2018-05-27,inf,0.0,49662719.99999999
2018-05-28,inf,0.0,49420800.0
2018-05-29,inf,0.0,49420800.0
