date;discharge;ETP;precipitation;temperature
2018-03-03;0.8240208662576687;0.73;0.0207;-2.2159722222222222
2018-03-04;0.8233490871165644;0.79;0.0;-2.207638888888889
2018-03-05;0.8053631852760735;0.36;9.18894;-0.38125
2018-03-06;0.8263224147239264;0.32;0.0791;0.9819444444444444
2018-03-07;0.8590585914110429;0.45;2.72882;0.1743055555555555
2018-03-08;0.8497322134969326;0.38;3.369319999999999;0.0034722222222222
2018-03-09;0.8197892613496932;0.36;5.65982;-0.5243055555555556
2018-03-10;0.8871521447852762;0.5;2.10576;-0.8090277777777778
2018-03-11;0.9776027705521473;0.25;12.149909999999998;1.2597222222222222
2018-03-12;1.508908284662577;0.45;0.0621399999999999;2.9368055555555554
2018-03-13;1.6726410993865028;0.28;0.0414;1.3909722222222225
2018-03-14;1.6600981619631898;0.51;0.0;0.7680555555555556
2018-03-15;1.5568067411042945;1.0;0.0;-0.2270833333333333
2018-03-16;1.3475803582822083;1.34;0.0;-2.586805555555556
2018-03-17;1.228510409815951;1.27;0.15822;-3.318055555555555
2018-03-18;1.1651855779141105;0.99;0.0;-2.594444444444445
2018-03-19;1.0639920147239263;0.9366666666666666;0.1582;-0.2124999999999999
2018-03-20;0.9523352834355829;0.8833333333333333;0.0;1.3125
2018-03-21;0.9831913840490797;0.83;1.85542;2.2201388888888887
2018-03-22;0.947937128834356;0.47;4.294499999999999;1.659722222222222
2018-03-23;1.064187408588957;0.55;0.0;1.7743055555555556
2018-03-24;1.0487656343558283;0.48;0.0;4.241666666666666
2018-03-25;1.0264199411042945;0.51;0.0;4.214583333333334
2018-03-26;1.0517067533742332;0.84;1.02834;3.551388888888889
2018-03-27;1.059999371779141;0.39;0.12054;0.5368055555555555
2018-03-28;1.0150631926380367;0.99;0.0;-0.4986111111111111
2018-03-29;0.9769248441717793;1.31;0.0;0.1826388888888889
2018-03-30;0.9769739337423312;1.25;0.0;0.4368055555555556
2018-03-31;0.9132619656441717;0.94;0.0;0.3236111111111111
2018-04-01;0.8813926380368099;1.1;0.0;1.1027777777777776
2018-04-02;0.8925530797546012;1.5;0.0;2.1243055555555554
2018-04-03;0.9152036687116564;0.42;8.88802;2.4479166666666665
2018-04-04;1.0135604245398773;1.47;3.772479999999999;8.75
2018-04-05;1.0450567361963192;0.92;1.43188;5.902777777777778
2018-04-06;1.0507950773006134;1.5300000000000002;0.0;5.6625000000000005
2018-04-07;1.0038389447852762;2.14;0.0;6.357638888888889
2018-04-08;0.9175944662576686;2.05;0.0;9.760416666666666
2018-04-09;0.8709257668711656;1.67;0.0;9.03888888888889
2018-04-10;0.8223690036809815;1.51;0.0;6.184722222222223
2018-04-11;0.8510324981595092;2.98;0.0;6.208333333333333
2018-04-12;0.8003404932515338;2.39;0.0;7.641666666666667
2018-04-13;0.7915282159509203;2.54;0.0414;10.750694444444443
2018-04-14;0.8087852687116565;1.64;0.0;10.19513888888889
2018-04-15;0.7895288392638037;0.97;0.0;9.0
2018-04-16;0.7620352785276074;1.76;0.0;9.309722222222222
2018-04-17;0.7651806846625767;2.12;0.0;10.984722222222222
2018-04-18;0.7384708564417178;2.97;0.0;13.939583333333331
2018-04-19;0.7559453889570552;2.93;0.0;14.076388888888888
2018-04-20;0.7183546085889569;3.46;0.0;15.317361111111111
2018-04-21;0.7002846552147239;3.25;0.0;10.192361111111111
2018-04-22;0.7246653055214723;2.07;0.0;8.029166666666667
2018-04-23;0.679687435582822;2.66;0.3408399999999999;10.641666666666667
2018-04-24;0.6939748490797546;1.8;1.0396599999999998;8.464583333333334
2018-04-25;0.621510736196319;1.97;1.40718;8.202083333333333
2018-04-26;0.7169852760736196;2.37;0.3652399999999999;8.375
2018-04-27;0.7215119779141104;2.33;1.0113;9.734722222222222
2018-04-28;0.6685610282208588;1.6;1.9135;8.370833333333334
2018-04-29;0.7169463312883435;1.92;0.06222;8.97638888888889
2018-04-30;0.6997324932515339;0.89;12.16115;9.161111111111111
2018-05-01;0.8105503141104294;1.18;3.19598;8.120138888888889
2018-05-02;0.8286696220858896;2.98;0.0;9.285416666666666
2018-05-03;0.7351886429447853;2.71;1.00192;8.637500000000001
2018-05-04;0.7578377521472393;2.59;0.0;8.275694444444445
2018-05-05;0.7196515288343559;3.33;0.0;11.352083333333333
2018-05-06;0.6911046036809815;3.69;0.0;13.65486111111111
2018-05-07;0.6833009153374233;4.01;0.0;15.605555555555554
2018-05-08;0.6512800564417177;4.42;0.0;15.334027777777775
2018-05-09;0.6272506085889571;4.76;0.0;16.18402777777778
2018-05-10;0.572440490797546;3.56;3.55552;14.740277777777775
2018-05-11;0.6715564343558281;3.49;0.0;12.314583333333331
2018-05-12;0.6086837447852761;3.28;0.0;13.283333333333331
2018-05-13;0.6473457055214724;4.28;0.0;16.634027777777778
2018-05-14;0.6064355631901841;4.92;0.0;18.106944444444444
2018-05-15;0.603607045398773;4.64;0.0;18.422916666666666
2018-05-16;0.5638006233128835;4.69;0.0;16.37847222222222
2018-05-17;0.5428546012269938;3.58;0.0;13.471527777777778
2018-05-18;0.5950631705521473;3.23;0.0;13.911111111111111
2018-05-19;0.5917742208588956;3.99;0.1582;15.190277777777778
2018-05-20;0.5832282110429448;4.5;0.0;15.438888888888888
2018-05-21;0.5568337325153374;3.88;0.0;14.528472222222222
2018-05-22;0.5259153349693251;4.65;0.0;16.195486111111112
2018-05-23;0.525962591411043;4.45;0.0;17.702657004830918
2018-05-24;0.5418788245398772;4.91;0.0;18.726455026455028
2018-05-25;0.49814201226993865;5.03;0.0;17.986805555555556
2018-05-26;0.5231632049079754;4.58;0.0;19.88571428571429
2018-05-27;0.48753373987730064;3.04;2e-05;18.283552631578942
2018-05-28;0.5023000122699387;3.65;2.867348571428572;18.2729761904762
2018-05-29;0.5142438552147239;3.34;1.7639;20.414656862745097
2018-05-30;0.5229300662576687;6.49;0.0;21.334027777777777
2018-05-31;0.5071374404907975;5.32;0.0;20.02543771043771
2018-06-01;0.48576994601227;5.29;0.0;20.622472075249853
2018-06-02;0.4755576809815951;5.14;0.0;22.41374603174604
2018-06-03;0.46200583067484663;5.57;0.0;22.74325980392157
2018-06-04;0.4379576613496933;5.28;0.0;19.97133333333333
2018-06-05;0.45936455705521473;4.82;0.0;17.103310185185183
2018-06-06;0.48893373496932513;4.67;0.1582;18.887318295739348
2018-06-07;0.4436650159509202;5.15;0.0;19.121964285714284
2018-06-08;0.41585274846625764;5.13;0.0207;21.5482435928531
2018-06-09;0.4280668785276074;3.89;0.0;21.022222222222226
2018-06-10;0.41902822085889563;1.67;2.45338;18.474444444444444
2018-06-11;0.39428588466257664;2.92;0.0;15.203571428571427
2018-06-12;0.44118311411042943;3.99;0.0;17.9425
2018-06-13;0.43704662576687114;4.68;0.0;15.835333333333333
2018-06-14;0.4351493815950921;3.27;2.913602;17.759030303030304
2018-06-15;0.32401472392638037;3.77;0.0620999999999999;15.64343137254902
2018-06-16;0.4756870969325154;1.91;3.93876;13.475694444444445
2018-06-17;0.4603101276073619;3.68;2.7694199999999998;14.44375
2018-06-18;0.45743345521472384;2.44;0.02076;14.036805555555556
2018-06-19;0.3098297521472393;4.45;0.0207;14.39861111111111
2018-06-20;0.4920512319018405;1.94;0.8436799999999999;14.488194444444446
2018-06-21;0.3630914134969325;4.13;0.0;12.058333333333332
2018-06-22;0.4033236220858896;3.99;0.0;12.20625
2018-06-23;0.394852144785276;4.29;0.0;13.146527777777775
2018-06-24;0.4009181006134969;4.33;0.0;15.8
2018-06-25;0.3855996957055215;4.49;0.0207;17.759027777777778
2018-06-26;0.41260244907975463;5.14;0.0;19.09861111111111
2018-06-27;0.40654814723926375;5.03;0.0;19.26458333333333
2018-06-28;0.39059263803680977;5.82;0.0;20.491319444444446
2018-06-29;0.3698702355828221;4.82;0.0;16.40138888888889
2018-06-30;0.4161699239263803;5.03;0.0;16.782638888888886
2018-07-01;0.3862539975460122;4.87;0.0414;16.620833333333334
2018-07-02;0.36712913374233136;5.37;0.0;18.04236111111111
2018-07-03;0.3791386674846626;5.52;0.0791;17.841666666666665
2018-07-04;0.41868803190184045;4.77;0.0414;16.584027777777777
2018-07-05;0.3815533693251533;2.96;0.0;14.858333333333334
2018-07-06;0.34624202208588956;5.08;0.0998;15.580555555555556
2018-07-07;0.3585530650306749;5.17;0.0;18.029166666666665
2018-07-08;0.35891258650306745;4.92;0.0;17.45277777777778
2018-07-09;0.33392670920245393;5.22;0.1205;16.122083333333332
2018-07-10;0.32943742085889566;4.08;0.0;18.22083333333333
2018-07-11;0.34924417177914113;4.78;0.0414;20.80555555555556
2018-07-12;0.3083536858895706;5.18;0.0207;21.781944444444445
2018-07-13;0.3364782110429447;5.32;0.0414;17.849999999999998
2018-07-14;0.33191687116564417;4.14;0.0;16.056250000000002
2018-07-15;0.32205795828220857;4.55;0.1996;19.070138888888888
2018-07-16;0.31095245889570555;4.84;0.0620999999999999;20.23680555555556
2018-07-17;0.3266782306748466;4.72;0.1656;21.898611111111112
2018-07-18;0.32466624294478524;4.42;0.1035;18.55
2018-07-19;0.309778218404908;4.85;0.1789;17.002083333333335
2018-07-20;0.3114174846625767;5.16;0.0414;18.06458333333333
2018-07-21;0.2895506134969325;4.88;0.0998;19.054166666666667
2018-07-22;0.27422300613496936;4.27;0.04142;18.94305555555556
2018-07-23;0.2942681079754601;4.45;0.1996;21.03333333333333
2018-07-24;0.2797153398773006;4.72;0.0828;22.258333333333336
2018-07-25;0.28625983803680977;4.62;0.2033;23.199305555555554
