date,discharge,precipitation,ETp,precip_7d,precip_30d,precip_surplus
2017-08-14,0.5887950920245398,0.0791,2.76,2.1346114285714295,1.9015253333333328,-2.6809
2017-08-15,0.5919018404907975,4.6952,2.5,2.626745714285715,1.8458386666666662,2.1952
2017-08-16,0.498101226993865,0.0,2.99,2.207300000000001,2.178299333333333,-2.99
2017-08-17,0.53885245398773,7.073259999999999,2.04,3.0335314285714294,2.1664233333333334,5.033259999999999
2017-08-18,0.5172377300613497,3.44494,1.95,3.0222371428571435,2.1664226666666666,1.49494
2017-08-19,0.574670245398773,0.1586,2.65,2.351494285714286,1.5305293333333332,-2.4914
2017-08-20,0.5176196319018405,5.78362,1.98,2.351494285714286,1.4382999999999997,3.80362
2017-08-21,0.4886180981595092,4e-05,2.59,1.3665857142857154,1.409861333333333,-2.58996
2017-08-22,0.5491214723926381,0.0,2.51,0.8744514285714295,1.4045973333333328,-2.51
2017-08-23,0.552328527607362,0.0,2.85,0.8606657142857153,3.278710666666666,-2.85
2017-08-24,0.5276907975460122,0.1789,1.95,0.46448285714285814,3.487380666666666,-1.7711
2017-08-25,0.4544815950920245,0.0,2.9,0.46447714285714387,3.6413906666666658,-2.9
2017-08-26,0.4826015337423313,0.0620999999999999,1.58,0.46447714285714387,3.860656666666666,-1.5179000000000002
2017-08-27,0.4790779141104294,3.01034,1.93,1.9685142857142865,3.976084666666666,1.0803399999999999
2017-08-28,0.5109616564417178,0.0,2.19,2.1215942857142864,3.9990353333333326,-2.19
2017-08-29,0.4633573619631901,0.0,2.83,2.1215942857142864,4.032057999999999,-2.83
2017-08-30,0.4322677914110429,10.52826,1.17,2.138280000000001,4.368619333333332,9.35826
2017-08-31,0.4757733128834356,1.25046,1.48,1.7111885714285724,4.416403333333332,-0.22954000000000008
2017-09-01,0.4729187116564416,0.0,2.25,1.7318885714285723,4.421933333333332,-2.25
2017-09-02,0.5030420245398773,0.1789,1.94,1.7319285714285724,4.207251333333333,-1.7610999999999999
2017-09-03,0.4959046012269938,0.0207,1.81,8.259805714285715,4.09242,-1.7893000000000001
