date,temp,humid,wind,radia,rain,flow,ks mrk.,ETp
2003-08-22 12:00:00,18.44305555555556,67.94444444444444,6.675000000000001,162.08333333333334,0.1,134.0,0.0,1.16
2003-08-23 00:00:00,16.852777777777778,76.98611111111111,6.923611111111111,172.77777777777777,1.6,144.65,0.0,1.375
2003-08-23 12:00:00,16.862499999999997,76.41666666666667,6.184722222222223,125.76388888888889,2.6,155.3,0.0,1.375
2003-08-24 00:00:00,18.132394366197182,80.19718309859155,3.9338028169014088,262.7042253521127,0.0,151.60000000000002,0.0,1.615
2003-08-24 12:00:00,18.529166666666665,76.70833333333333,3.265277777777777,197.75,0.0,147.9,0.0,1.615
2003-08-25 00:00:00,16.970833333333335,75.95833333333333,2.790277777777778,241.72222222222223,0.0,137.15,0.0,1.395
2003-08-25 12:00:00,15.816666666666666,71.68055555555556,2.613888888888889,160.73611111111111,0.0,126.4,0.0,1.395
2003-08-26 00:00:00,14.948611111111113,76.55555555555556,1.5819444444444446,242.81944444444449,0.0,121.0,0.0,1.465
2003-08-26 12:00:00,17.48888888888889,63.02777777777778,4.922222222222222,160.02777777777777,0.1,115.6,0.0,1.465
2003-08-27 00:00:00,12.773611111111112,74.72222222222223,5.355555555555556,179.36111111111111,2.8,118.4,0.0,1.165
2003-08-27 12:00:00,11.726388888888888,70.66666666666667,4.123611111111111,150.61111111111111,0.0,121.2,0.0,1.165
2003-08-28 00:00:00,11.87361111111111,78.84722222222223,2.1694444444444443,223.887323943662,0.0,120.9,0.0,1.165
2003-08-28 12:00:00,15.125,66.86111111111111,1.5138888888888888,148.31944444444446,0.4,120.6,0.0,1.165
2003-08-29 00:00:00,13.709722222222222,84.58333333333333,1.7875,83.18055555555556,0.2,124.05,0.0,0.56
2003-08-29 12:00:00,12.355555555555556,91.01388888888889,3.293055555555556,26.15277777777778,9.4,127.5,0.0,0.56
2003-08-30 00:00:00,12.644444444444444,89.69444444444444,1.6402777777777775,107.77777777777776,0.0,158.2,0.0,0.58
2003-08-30 12:00:00,12.993055555555555,87.04166666666667,2.673611111111111,33.65277777777778,3.4,188.9,0.0,0.58
2003-08-31 00:00:00,12.206944444444444,88.70833333333333,2.4847222222222225,152.65277777777777,2.9000000000000004,213.0,0.0,0.86
2003-08-31 12:00:00,11.9125,81.45833333333333,2.0194444444444444,134.72222222222223,2.9000000000000004,237.1,0.0,0.86
2003-09-01 00:00:00,11.106944444444444,86.75,1.8069444444444445,199.5,0.0,234.1,0.0,0.68
2003-09-01 12:00:00,9.255555555555556,88.86111111111111,1.5,30.944444444444443,2.7,231.1,0.0,0.68
2003-09-02 00:00:00,8.733333333333333,75.01388888888889,1.4472222222222222,254.9305555555556,0.0,229.8,0.0,1.05
2003-09-02 12:00:00,12.459722222222222,68.01388888888889,1.3250000000000002,160.26388888888889,0.0,228.5,0.0,1.05
2003-09-03 00:00:00,13.490277777777775,88.18055555555556,2.961111111111111,95.86111111111111,0.3,201.8,0.0,0.765
2003-09-03 12:00:00,15.591666666666663,77.51388888888889,4.643055555555556,73.65277777777777,0.0,175.1,0.0,0.765
2003-09-04 00:00:00,15.594444444444443,83.43055555555556,3.876388888888889,184.5555555555556,0.0,160.14999999999998,0.0,1.105
