date,discharge,precipitation,ETp,temp,groundwater,precip_30d,precip_7d,precip_90d,precip_surplus,melt
2007-05-15,0.2280226995073891,0.0,3.09,9.555555555555555,-0.95,2.816666666666667,6.942857142857142,2.661111111111111,-3.09,1.0
2007-05-16,0.2091598971428571,18.8,1.84,8.240972222222222,-0.9,2.82,6.757142857142857,2.674444444444444,16.96,1.0
2007-05-17,0.4840225714285714,23.4,0.67,9.057638888888889,-0.94,2.82,6.700000000000001,2.73,22.729999999999997,1.0
2007-05-18,0.6468124322981367,0.1,3.64,12.436805555555555,-0.91,2.823333333333333,6.614285714285714,2.7355555555555555,-3.54,1.0
2007-05-19,0.5373847203647416,3.9,2.32,13.58125,-0.91,2.9066666666666663,6.614285714285714,2.9299999999999997,1.58,1.0
2007-05-20,0.4197762111801242,0.0,3.17,12.942361111111111,-0.91,2.9066666666666663,3.9285714285714284,3.0144444444444445,-3.17,1.0
2007-05-21,0.3368950548712206,0.1,2.94,16.322916666666664,-0.92,2.96,0.5857142857142856,3.0533333333333337,-2.84,1.0
2007-05-22,0.2965826479591837,0.0,2.77,13.213888888888889,-0.92,2.96,0.5714285714285714,3.602222222222222,-2.77,1.0
2007-05-23,0.2576310364474236,0.0,3.83,11.77986111111111,-0.93,2.79,0.35714285714285715,3.6677777777777782,-3.83,1.0
2007-05-24,0.2295501428571428,0.0,2.6,14.48888888888889,-0.94,2.74,0.5428571428571429,3.5733333333333337,-2.6,1.0
2007-05-25,0.2137345714285714,0.0,3.34,17.544444444444444,-0.95,2.5366666666666666,0.8142857142857143,3.5533333333333337,-3.34,1.0
2007-05-26,0.2041333246753246,2.4,1.32,11.47013888888889,-0.95,2.2933333333333334,1.6142857142857143,3.5266666666666664,1.0799999999999998,1.0
2007-05-27,0.2028627428571428,1.3000000000000005,1.79,13.05763888888889,-0.95,2.2733333333333334,1.6285714285714286,3.5266666666666664,-0.48999999999999955,1.0
2007-05-28,0.2001825494505494,2.0,2.2,16.49513888888889,-0.96,2.1,1.6285714285714286,3.5822222222222218,-0.20000000000000018,1.0
2007-05-29,0.2145257802197802,5.6,3.75,19.06736111111111,-0.96,2.086666666666667,1.6428571428571428,3.611111111111111,1.8499999999999996,1.0
2007-05-30,0.2207751428571428,0.1,1.63,13.166666666666668,-0.97,2.1066666666666665,1.657142857142857,3.612222222222222,-1.5299999999999998,1.0
2007-05-31,0.2024344285714285,0.0,3.31,13.305555555555555,-0.97,2.1066666666666665,1.4714285714285713,3.634444444444444,-3.31,1.0
2007-06-01,0.1855714285714285,0.1,3.48,15.675704225352112,-0.97,1.4999999999999998,1.4142857142857141,3.6444444444444444,-3.38,1.0
2007-06-02,0.1799742857142857,2.5,1.49,12.991177621283256,-0.98,1.9299999999999997,0.6142857142857144,3.727777777777778,1.01,1.0
2007-06-03,0.1754228571428571,0.0,3.59,15.170138888888888,-0.99,2.1066666666666665,0.6000000000000002,3.727777777777778,-3.59,1.0
2007-06-04,0.1730717802197802,1.6,1.9,15.286776212832551,-1.0,1.9799999999999998,0.6000000000000002,3.7011111111111115,-0.2999999999999998,1.0
2007-06-05,0.1721449285714285,0.0,3.93,18.481250000000003,-1.0,1.9799999999999998,0.5857142857142856,3.7011111111111115,-3.93,1.0
2007-06-06,0.1645092,0.0,3.44,18.637500000000003,-1.01,1.9866666666666661,0.2285714285714286,3.7011111111111115,-3.44,1.0
2007-06-07,0.1554134693877551,0.0,5.22,20.52777777777778,-1.01,2.043333333333333,0.2285714285714286,3.7133333333333334,-5.22,1.0
2007-06-08,0.1502054081632653,0.0,5.24,19.918055555555554,-1.01,3.6166666666666667,0.0,4.103333333333333,-5.24,1.0
2007-06-09,0.144396,0.0,5.23,20.74236111111111,-1.03,3.6266666666666665,0.0,4.122222222222222,-5.23,1.0
2007-06-10,0.1388931428571428,0.0,5.2,21.645833333333332,-1.04,3.7566666666666664,0.18571428571428572,4.1866666666666665,-5.2,1.0
2007-06-11,0.133934961038961,0.0,5.34,22.87152777777778,-1.04,3.786666666666666,0.18571428571428572,4.319999999999999,-5.34,1.0
2007-06-12,0.1307293714285714,0.0,5.51,20.35902777777778,-1.05,3.806666666666666,0.27142857142857146,4.341111111111111,-5.51,1.0
2007-06-13,0.1291976326530612,1.3,3.38,16.731250000000003,-1.04,4.653333333333333,5.457142857142856,4.372222222222222,-2.08,1.0
2007-06-14,0.1434682285714285,0.0,3.22,13.180555555555557,-1.07,4.5633333333333335,6.228571428571428,4.435555555555555,-3.22,1.0
2007-06-15,0.1388892100840335,0.6000000000000001,2.04,12.053472222222222,-1.07,4.6,6.242857142857142,4.4399999999999995,-1.44,1.0
2007-06-16,0.1790195934065934,36.3,0.74,13.591666666666669,-1.04,4.766666666666667,6.242857142857142,4.4944444444444445,35.559999999999995,1.0
2007-06-17,0.3647845285714285,5.4,2.46,15.02986111111111,-1.07,4.78,6.1,4.4944444444444445,2.9400000000000004,1.0
2007-06-18,0.4043274612244898,0.1,3.34,15.43611111111111,-1.05,5.3,6.3428571428571425,4.4944444444444445,-3.2399999999999998,1.0
2007-06-19,0.3313471732522796,0.0,3.82,16.20138888888889,-1.06,5.553333333333333,13.0,4.546666666666667,-3.82,1.0
2007-06-20,0.269703285546416,0.3,3.83,17.547916666666666,-1.05,5.616666666666665,7.857142857142857,4.551111111111111,-3.5300000000000002,1.0
2007-06-21,0.236252100980101,1.7000000000000002,1.57,17.28125,-0.79,7.263333333333333,7.642857142857144,4.551111111111111,0.13000000000000012,1.0
2007-06-22,0.4108645714285714,47.2,1.51,14.416666666666666,-0.76,7.466666666666667,8.1,4.494444444444445,45.690000000000005,1.0
2007-06-23,0.748525435179067,0.3,2.85,15.678472222222222,-0.73,7.4799999999999995,8.371428571428572,4.477777777777779,-2.5500000000000003,1.0
