date,temp,humid,wind,radia,precip,ETp,Q(l/s),ks mrk.,Q_mm_d,precip_roll7d,precip_roll30d
2012-07-16 00:00:00,13.4125,82.43055555555556,5.198611111111111,253.02777777777777,1.1,1.46,262.61290322580646,0.0,0.1620696774193548,28.2,107.39999999999999
2012-07-16 12:00:00,14.297222222222224,81.27777777777777,4.443055555555556,215.02777777777777,3.5,1.46,237.55263157894737,0.0,0.146603909774436,31.5,102.7
2012-07-17 00:00:00,13.375,88.30555555555556,3.866666666666666,229.36111111111111,2.5,1.385,244.425,0.0,0.1508451428571428,33.699999999999996,101.6
2012-07-17 12:00:00,15.455555555555556,75.51388888888889,5.034722222222222,191.2083333333333,4.5,1.385,248.91612903225808,0.0,0.1536168110599078,38.099999999999994,105.6
2012-07-18 00:00:00,14.78472222222222,78.26388888888889,5.016666666666667,321.3888888888889,0.9,1.64,244.33125,0.0,0.1507872857142857,30.4,106.5
2012-07-18 12:00:00,15.705555555555556,77.73611111111111,2.468055555555555,166.33333333333334,3.8,1.64,228.78214285714284,0.0,0.1411912653061224,33.6,108.1
2012-07-19 00:00:00,15.238888888888887,94.47222222222224,2.730555555555556,169.41666666666666,4.8,0.895,233.79189189189188,0.0,0.1442829961389961,32.4,112.89999999999999
2012-07-19 12:00:00,14.172222222222222,93.31944444444444,1.540277777777778,91.47222222222224,2.5,0.895,385.2872340425532,0.0,0.2377772644376899,31.3,115.39999999999999
2012-07-20 00:00:00,14.941666666666666,89.51388888888889,3.7847222222222223,245.52777777777777,0.9,1.42,630.8574468085106,0.0,0.3893291671732523,31.099999999999998,116.3
2012-07-20 12:00:00,14.795833333333333,74.48611111111111,4.040277777777778,183.13888888888889,1.8,1.42,687.0822222222222,0.0,0.4240278857142857,32.800000000000004,118.1
2012-07-21 00:00:00,13.344444444444443,84.73611111111111,2.026388888888889,211.04166666666663,0.7000000000000001,1.62,662.7086956521739,0.0,0.4089859378881987,33.3,118.8
2012-07-21 12:00:00,15.870833333333334,71.08333333333333,3.568055555555555,291.5833333333333,0.5,1.62,616.3372093023256,0.0,0.3803681063122924,29.2,119.3
2012-07-22 00:00:00,15.065277777777778,82.33333333333333,3.311111111111112,304.3611111111111,1.3,1.88,566.2853658536585,0.0,0.349478968641115,29.7,111.6
2012-07-22 12:00:00,17.118055555555557,67.97222222222223,4.186111111111111,255.26388888888889,0.6,1.88,512.0071428571429,0.0,0.3159815510204081,29.400000000000002,106.50000000000001
