date,temp,humid,wind,radia,precip,ETp,Q(l/s),ks mrk.,Q_mm_d
2007-11-25 12:00:00,4.452777777777778,87.33333333333333,6.605555555555556,3.458333333333333,3.9,0.2,664.4,0.0,0.4100297142857143
2007-11-26 00:00:00,2.9819444444444443,69.86111111111111,5.512499999999999,44.29166666666666,1.7,0.505,695.9,0.0,0.4294697142857143
2007-11-26 12:00:00,3.6041666666666665,60.25,6.370833333333334,12.73611111111111,0.1,0.505,692.8525,0.0,0.42758897142857144
2007-11-27 00:00:00,2.0652777777777778,70.76388888888889,3.929166666666666,52.888888888888886,0.0,0.075,654.0214285714285,0.0,0.4036246530612244
2007-11-27 12:00:00,0.2541666666666666,79.18055555555556,2.4347222222222222,26.36111111111111,0.0,0.075,624.3222222222222,0.0,0.385296
2007-11-28 00:00:00,0.7083333333333334,89.80555555555556,1.3361111111111112,14.75,0.0,0.11,588.5875,0.0,0.3632425714285714
2007-11-28 12:00:00,4.143055555555556,97.61111111111111,3.2777777777777777,8.291666666666666,0.1,0.11,583.0903225806452,0.0,0.3598500276497696
2007-11-29 00:00:00,4.792957746478874,94.97183098591547,4.156338028169015,5.309859154929577,1.9,0.15,584.904,0.0,0.36096932571428575
2007-11-29 12:00:00,5.733333333333333,98.18055555555556,4.029166666666667,4.0,1.2000000000000002,0.15,610.0411764705883,0.0,0.37648255462184876
2007-11-30 00:00:00,5.3375,92.95833333333331,4.893055555555556,46.5,0.3,0.0,631.3333333333334,0.0,0.38962285714285716
2007-11-30 12:00:00,4.930555555555555,92.68055555555556,2.1319444444444446,17.805555555555557,0.0,0.0,626.59,0.0,0.38669554285714286
2007-12-01 00:00:00,6.479166666666667,99.51388888888889,4.072222222222222,4.430555555555555,5.8,0.215,611.8277777777778,0.0,0.37758514285714284
2007-12-01 12:00:00,7.076388888888889,86.52777777777777,6.8375,8.930555555555555,0.8,0.215,695.5976744186047,0.0,0.4292831362126246
2007-12-02 00:00:00,5.730555555555556,93.79166666666669,3.183333333333333,9.52777777777778,1.7000000000000002,0.16,781.3857142857142,0.0,0.482226612244898
2007-12-02 12:00:00,5.891666666666667,93.93055555555556,4.409722222222222,6.527777777777778,4.8,0.16,799.339534883721,0.0,0.49330668438538205
2007-12-03 00:00:00,5.872222222222223,96.59722222222224,3.922222222222222,9.98611111111111,5.4,0.135,880.5666666666666,0.0,0.5434354285714286
2007-12-03 12:00:00,4.770833333333333,94.98611111111111,4.7125,5.375,3.8,0.135,1072.041304347826,0.0,0.6616026335403726
2007-12-04 00:00:00,4.633333333333334,92.20833333333331,3.994444444444445,38.36111111111112,0.1,0.0,1121.56,0.0,0.6921627428571429
2007-12-04 12:00:00,4.0375,93.63888888888889,2.656944444444445,20.33333333333333,0.0,0.0,1103.5666666666668,0.0,0.6810582857142858
2007-12-05 00:00:00,6.256944444444445,98.13888888888889,3.793055555555556,4.902777777777778,1.2000000000000002,0.155,1046.6454545454546,0.0,0.6459297662337663
2007-12-05 12:00:00,9.522222222222222,96.29166666666669,5.241666666666666,1.625,1.7000000000000002,0.155,1016.7456521739132,0.0,0.6274773167701864
2007-12-06 00:00:00,8.994444444444445,92.65277777777776,4.922222222222222,14.73611111111111,0.9,0.155,991.7869565217392,0.0,0.6120742360248448
2007-12-06 12:00:00,7.538888888888888,92.65277777777776,4.044444444444444,10.48611111111111,2.4,0.155,993.7179487179488,0.0,0.6132659340659342
2007-12-07 00:00:00,8.088888888888889,99.68055555555556,3.404166666666667,6.736111111111111,10.8,0.13,1073.508695652174,0.0,0.6625082236024846
2007-12-07 12:00:00,6.897222222222222,95.58333333333331,5.273611111111111,5.027777777777778,1.8,0.13,1350.5553191489362,0.0,0.8334855683890577
2007-12-08 00:00:00,6.038888888888889,91.52777777777776,6.538888888888889,18.98611111111111,4.3,0.18,1502.1770833333333,0.0,0.9270578571428572
2007-12-08 12:00:00,4.583333333333333,87.16666666666667,3.626388888888889,10.11111111111111,0.0,0.18,1590.025,0.0,0.9812725714285714
2007-12-09 00:00:00,3.923611111111111,91.77777777777776,4.654166666666667,4.013888888888889,3.5,0.17,1625.6083333333331,0.0,1.0032325714285713
2007-12-09 12:00:00,4.984722222222222,99.15277777777776,1.2458333333333331,1.9444444444444444,0.2,0.17,1636.88125,0.0,1.0101895714285714
2007-12-10 00:00:00,3.4291666666666667,100.0,1.2875,6.736111111111111,0.6,0.09,1606.8583333333331,0.0,0.9916611428571427
2007-12-10 12:00:00,4.870833333333334,99.16666666666669,1.6111111111111112,6.652777777777778,0.1,0.09,1549.5297872340425,0.0,0.9562812401215806
2007-12-11 00:00:00,4.644444444444444,93.33333333333331,1.1083333333333334,14.84722222222222,0.0,0.1,1457.19375,0.0,0.8992967142857142
2007-12-11 12:00:00,4.608333333333333,89.40277777777777,1.747887323943662,5.930555555555555,0.0,0.1,1366.43125,0.0,0.8432832857142858
2007-12-12 00:00:00,2.5694444444444446,90.41666666666669,1.7875,10.416666666666666,0.0,0.135,1267.0,0.0,0.78192
2007-12-12 12:00:00,2.138888888888889,89.26388888888889,1.1013888888888888,4.861111111111111,0.0,0.135,1185.8755555555556,0.0,0.7318546285714286
