date,discharge,precipitation,ETp,precip_7d,precip_30d,precip_90d,precip_surplus
2010-03-21,1.427632471995506,2.1,0.76,1.2857142857142843,1.645,1.1044444444444443,1.34
2010-03-22,1.4240787760631792,0.15,1.34,1.3857142857142841,1.6449999999999998,1.102222222222222,-1.1900000000000002
2010-03-23,1.4270570168192185,0.6000000000000001,1.07,2.7071428571428555,1.6516666666666666,1.102222222222222,-0.47
2010-03-24,1.4091200641046822,0.05,0.94,3.578571428571427,1.6516666666666666,1.1127777777777776,-0.8899999999999999
2010-03-25,1.3826473416383045,0.7,1.2,3.3142857142857127,1.6433333333333333,1.1355555555555557,-0.5
2010-03-26,1.3729666837392198,9.85,1.08,3.3142857142857127,1.6433333333333333,1.1472222222222221,8.77
2010-03-27,1.5932388808115523,11.6,0.82,3.285714285714284,1.675,1.1466666666666667,10.78
2010-03-28,1.591166349998348,0.25,0.94,4.078571428571427,1.675,1.146111111111111,-0.69
2010-03-29,1.610028566235998,0.15,0.96,4.178571428571426,1.675,1.248888888888889,-0.8099999999999999
2010-03-30,1.6082862901893404,0.3999999999999999,0.79,2.878571428571427,1.6716666666666666,1.2483333333333335,-0.3900000000000001
2010-03-31,1.656286463668506,5.6,1.33,1.2214285714285698,1.6649999999999998,1.2433333333333334,4.27
2010-04-01,1.6594838086111756,1.4,0.84,2.42142857142857,1.66,1.501111111111111,0.5599999999999999
2010-04-02,1.6595014291378911,0.75,1.23,2.4071428571428557,1.6583333333333334,1.5038888888888888,-0.48
2010-04-03,1.635559817268612,0.0,1.78,2.4071428571428553,1.6583333333333334,1.5038888888888888,-1.78
2010-04-04,1.650294741102997,8.65,0.51,1.6071428571428557,1.6383333333333332,1.5022222222222221,8.14
2010-04-05,1.6775342910484752,0.05,0.88,1.4071428571428555,1.4549999999999998,1.483888888888889,-0.83
2010-04-06,1.6628492548656777,0.4,1.24,1.2999999999999985,1.5616666666666665,1.4288888888888889,-0.84
2010-04-07,1.631798020685325,0.0,2.08,1.4357142857142844,1.5883333333333334,1.4311111111111112,-2.08
2010-04-08,1.5987039206291511,0.0,1.51,0.19999999999999846,1.603333333333333,1.4294444444444445,-1.51
2010-04-09,1.5765317516439217,0.0,1.32,0.1928571428571413,1.6366666666666667,1.3888888888888888,-1.32
2010-04-10,1.5469843290486736,0.95,2.15,0.13571428571428418,1.6133333333333333,1.4111111111111112,-1.2
2010-04-11,1.512479620328454,0.0,1.69,0.13571428571428418,1.285,1.4072222222222222,-1.69
2010-04-12,1.46819663450418,0.0,2.1,0.13571428571428418,0.9333333333333333,1.3516666666666666,-2.1
2010-04-13,1.4033583005650467,0.0,2.025,0.13571428571428418,0.925,1.3305555555555555,-2.025
2010-04-14,1.354707580213462,0.0,2.25,0.0,0.92,1.3433333333333333,-2.25
2010-04-15,1.303820242540396,0.0,2.19,0.0,0.91,1.3022222222222222,-2.19
2010-04-16,1.2693706258467434,0.0,2.535,0.0,0.895,1.5350000000000001,-2.535
2010-04-17,1.239312089019595,0.0,1.795,0.7571428571428557,0.9216666666666667,1.5249999999999997,-1.795
2010-04-18,1.2042044162839112,0.0,1.84,0.8928571428571415,0.8966666666666667,1.5227777777777776,-1.84
2010-04-19,1.1717451756270034,0.0,1.89,1.0428571428571414,0.8966666666666667,1.5199999999999998,-1.89
2010-04-20,1.1504621815418168,5.300000000000001,0.885,1.1928571428571415,0.61,1.5066666666666666,4.415000000000001
2010-04-21,1.1288273717080264,0.95,1.295,1.1928571428571415,0.6083333333333335,1.5066666666666666,-0.345
2010-04-22,1.0997679261804845,1.0499999999999998,1.825,1.1928571428571415,0.5950000000000001,1.5311111111111113,-0.7750000000000001
2010-04-23,1.0586930657899083,1.05,1.5750000000000002,1.3428571428571414,0.6283333333333334,1.538888888888889,-0.5250000000000001
2010-04-24,1.0440957604996202,0.0,2.435,0.5857142857142842,0.705,1.6600000000000001,-2.435
2010-04-25,1.0022362290585864,0.0,2.21,0.4499999999999984,0.74,1.673888888888889,-2.21
2010-04-26,0.9737817549482868,1.0499999999999998,1.23,0.3142857142857127,0.7083333333333334,1.875,-0.18000000000000016
2010-04-27,0.9562085169291245,0.0,1.825,0.8999999999999986,0.7083333333333334,2.113888888888889,-1.825
2010-04-28,0.9302419538710636,0.0,2.1500000000000004,1.2142857142857129,1.025,2.296111111111111,-2.1500000000000004
2010-04-29,0.8998494416341378,0.1,2.8899999999999997,1.2142857142857129,1.025,2.355,-2.7899999999999996
2010-04-30,0.8938780406059262,5.15,0.93,1.064285714285713,1.025,2.4166666666666665,4.220000000000001
2010-05-01,0.8859225374219344,2.2,1.43,1.07142857142857,1.8099999999999998,2.4155555555555552,0.7700000000000002
2010-05-02,0.8623421700065786,0.0,2.585,1.07142857142857,1.835,2.4694444444444446,-2.585
2010-05-03,0.8370540660212141,0.0,1.72,1.0571428571428558,1.835,2.4805555555555556,-1.72
2010-05-04,0.8209172067730043,0.05,2.215,0.4642857142857129,1.835,2.4755555555555553,-2.165
2010-05-05,0.8011830453028451,0.0,1.905,0.47857142857142715,1.835,2.422222222222222,-1.905
2010-05-06,0.7777070019495754,0.0,1.905,0.6285714285714271,1.6583333333333334,2.516111111111111,-1.905
2010-05-07,0.7560330849552259,1.0,1.495,0.6285714285714271,1.68,2.5744444444444445,-0.4950000000000001
2010-05-08,0.7515000000000002,2.3,0.87,0.62142857142857,1.645,2.5677777777777777,1.4299999999999997
2010-05-09,0.7426512242672572,1.05,1.78,1.9785714285714273,1.6099999999999999,2.5672222222222225,-0.73
2010-05-10,0.7253661566929914,0.0,2.37,1.9785714285714273,1.6766666666666665,2.5605555555555553,-2.37
2010-05-11,0.6993137246803025,0.0,2.085,1.8357142857142843,1.6766666666666665,2.452777777777778,-2.085
2010-05-12,0.7129068086442191,9.5,0.77,4.871428571428569,1.6416666666666666,2.325,8.73
2010-05-13,0.7198035507762898,0.0,0.94,4.828571428571427,1.6416666666666666,2.3222222222222224,-0.94
2010-05-14,0.7029345570498629,0.0,2.245,4.828571428571427,1.6833333333333333,2.3216666666666663,-2.245
2010-05-15,0.7293389535075837,23.549999999999997,1.13,4.828571428571427,1.6883333333333332,2.317222222222222,22.419999999999998
2010-05-16,0.7859808429435284,0.75,0.69,3.47142857142857,2.3216666666666668,2.2600000000000002,0.06000000000000005
2010-05-17,0.7738736823844299,0.0,2.8099999999999996,3.47142857142857,2.2666666666666666,2.2455555555555553,-2.8099999999999996
2010-05-18,0.7597218715923737,0.0,2.7,3.699999999999999,2.2666666666666666,2.237222222222222,-2.7
2010-05-19,0.7437896441198825,0.0,3.37,0.3357142857142847,2.2666666666666666,2.2377777777777776,-3.37
2010-05-20,0.7261447311899021,0.0,3.715,0.22857142857142757,2.265,2.1422222222222222,-3.715
2010-05-21,0.7048603988368635,1.6,3.595,0.5142857142857132,2.2666666666666666,2.2216666666666667,-1.995
