date;discharge;precipitation;ETp
2004-07-19;0.3400457142857143;2.8;1.78
2004-07-20;0.2896405714285714;7.3;2.85
2004-07-21;0.693545142857143;18.400000000000002;0.88
2004-07-22;0.6658662857142856;0.0;1.28
2004-07-23;0.4980342857142857;1.3;2.72
2004-07-24;0.3841097142857143;0.4;2.33
2004-07-25;0.3302177142857142;6.1;1.37
2004-07-26;0.31995771428571435;0.0;2.45
2004-07-27;0.2504365714285714;0.0;2.95
2004-07-28;0.20138914285714288;0.0;3.13
2004-07-29;0.17616342857142858;0.0;3.77
2004-07-30;0.15504171428571428;0.0;3.93
2004-07-31;0.14090914285714284;0.0;3.16
2004-08-01;0.13334914285714286;0.0;3.25
2004-08-02;0.13533942857142858;0.0;3.2
2004-08-03;0.13507714285714287;0.4;1.83
2004-08-04;0.12626742857142856;0.0;2.34
2004-08-05;0.12029657142857143;0.0;3.52
2004-08-06;0.11701028571428573;0.0;4.32
2004-08-07;0.11062285714285715;0.0;4.21
2004-08-08;0.10786114285714286;0.0;4.15
2004-08-09;0.1127982857142857;0.0;3.91
2004-08-10;0.11824457142857143;0.0;3.83
2004-08-11;0.13526228571428572;0.0;3.11
2004-08-12;0.14334685714285714;0.0;3.02
2004-08-13;0.1518325714285714;7.5;1.88
2004-08-14;0.17906399999999997;0.0;3.4
2004-08-15;0.15795771428571428;0.0;2.8
2004-08-16;0.14905542857142856;9.9;1.86
2004-08-17;0.22359085714285712;4.3;2.25
2004-08-18;0.2831451428571429;0.0;1.74
2004-08-19;0.24452742857142856;2.8;2.65
2004-08-20;0.18552857142857143;1.1;2.86
2004-08-21;0.14954914285714285;0.2;2.4
2004-08-22;0.13336457142857144;0.0;2.95
2004-08-23;0.13017085714285714;0.5;2.59
2004-08-24;0.131436;13.600000000000001;1.94
2004-08-25;0.45208799999999993;10.2;1.74
2004-08-26;0.48768171428571416;0.1;1.84
2004-08-27;0.2982188571428571;5.8999999999999995;1.06
2004-08-28;0.20811599999999997;0.8;1.8
2004-08-29;0.17715085714285714;0.0;1.92
2004-08-30;0.16042628571428572;7.500000000000001;1.31
2004-08-31;0.16167600000000001;0.5;1.91
2004-09-01;0.1833222857142857;6.1;1.45
2004-09-02;0.20200628571428575;0.4;1.48
